lemma	inflected	label	hits
会う	会わせます	V;PRS;IPFV;CAUS;POL;FOREG	178000
会う	会わせません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	11600
会う	会わせた	V;PST;PFV;CAUS	413000
会う	会わせなかった	V;PST;PFV;CAUS;NEG	52200
会う	会わせました	V;PST;PFV;CAUS;POL;FOREG	23700
会う	会わせませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	19000
会う	会わす	V;PRS;IPFV;CAUS	69700
会う	会わさない	V;PRS;IPFV;CAUS;NEG	5660
会う	会わします	V;PRS;IPFV;CAUS;POL;FOREG	1330
会う	会わしません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	1540
会う	会わした	V;PST;PFV;CAUS	11600
会う	会わさなかった	V;PST;PFV;CAUS;NEG	464
会う	会わしました	V;PST;PFV;CAUS;POL;FOREG	3670
会う	会わしませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	10
会う	会わせられる	V;PRS;IPFV;CAUS;PASS	103000
会う	会わせられない	V;PRS;IPFV;CAUS;PASS;NEG	221000
会う	会わせられます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	11100
会う	会わせられません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	34500
会う	会わせられた	V;PST;PFV;CAUS;PASS	106000
会う	会わせられなかった	V;PST;PFV;CAUS;PASS;NEG	21000
会う	会わせられました	V;PST;PFV;CAUS;PASS;POL;FOREG	4030
会う	会わせられませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	2390
会う	会わされる	V;PRS;IPFV;CAUS;PASS	54600
会う	会わされない	V;PRS;IPFV;CAUS;PASS;NEG	386
会う	会わされます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	19500
会う	会わされません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	5
会う	会わされた	V;PST;PFV;CAUS;PASS	58400
会う	会わされなかった	V;PST;PFV;CAUS;PASS;NEG	5
会う	会わされました	V;PST;PFV;CAUS;PASS;POL;FOREG	19400
会う	会わされませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0
会う	お会いになる	V;FORM;ELEV;PRS;IPFV	809000
会う	お会いにならない	V;FORM;ELEV;PRS;IPFV;NEG	134000
会う	お会いになります	V;FORM;ELEV;PRS;IPFV;POL;FOREG	430000
会う	お会いになりません	V;FORM;ELEV;PRS;IPFV;POL;FOREG;NEG	106000
会う	お会いになった	V;FORM;ELEV;PST;PFV	502000
会う	お会いにならなかった	V;FORM;ELEV;PST;PFV;NEG	23000
会う	お会いになりました	V;FORM;ELEV;PST;PFV;POL;FOREG	449000
会う	お会いになりませんでした	V;FORM;ELEV;PST;PFV;POL;FOREG;NEG	80900
会う	お会いする	V;FORM;HUMB;PRS;IPFV	6220000
会う	お会いしない	V;FORM;HUMB;PRS;IPFV;NEG	41100
会う	お会いします	V;FORM;HUMB;PRS;IPFV;POL;FOREG	5970000
会う	お会いしません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	342000
会う	お会いした	V;FORM;HUMB;PST;PFV	10200000
会う	お会いしなかった	V;FORM;HUMB;PST;PFV;NEG	92000
会う	お会いしました	V;FORM;HUMB;PST;PFV;POL;FOREG	7580000
会う	お会いしませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	55200
会う	会わせていただく	V;FORM;HUMB;PRS;IPFV;PERM	52500
会う	会わせていただかない	V;FORM;HUMB;PRS;IPFV;NEG;PERM	9
会う	会わせていただきます	V;FORM;HUMB;PRS;IPFV;POL;FOREG;PERM	87500
会う	会わせていただきません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG;PERM	8
会う	会わせていただいた	V;FORM;HUMB;PST;PFV;PERM	66100
会う	会わせていただかなかった	V;FORM;HUMB;PST;PFV;NEG;PERM	0
会う	会わせていただきました	V;FORM;HUMB;PST;PFV;POL;FOREG;PERM	104000
会う	会わせていただきませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG;PERM	0
会う	お目にかかる	V;FORM;HUMB;PRS;IPFV	1540000
会う	お目にかからない	V;FORM;HUMB;PRS;IPFV;NEG	818000
会う	お目にかからないです	V;FORM;HUMB;PRS;IPFV;POL;NEG;COL	11000
会う	お目にかかります	V;FORM;HUMB;PRS;IPFV;POL;FOREG	184000
会う	お目にかかりません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	137000
会う	お目にかかるだろう	V;FORM;HUMB;PRS;IPFV;PROSP	430
会う	お目にかからないだろう	V;FORM;HUMB;PRS;IPFV;PROSP;NEG	674
会う	お目にかかるでしょう	V;FORM;HUMB;PRS;IPFV;PROSP;POL	654
会う	お目にかからないでしょう	V;FORM;HUMB;PRS;IPFV;PROSP;POL;NEG	12800
会う	お目にかかった	V;FORM;HUMB;PST;PFV	402000
会う	お目にかからなかった	V;FORM;HUMB;PST;PFV;NEG	12000
会う	お目にかかりました	V;FORM;HUMB;PST;PFV;POL;FOREG	105000
会う	お目にかかりませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	15000
会う	お目にかかっただろう	V;FORM;HUMB;PST;PFV;PROSP	76
会う	お目にかからなかっただろう	V;FORM;HUMB;PST;PFV;PROSP;NEG	6
会う	お目にかかったでしょう	V;FORM;HUMB;PST;PFV;PROSP;POL	10
会う	お目にかからなかったでしょう	V;FORM;HUMB;PST;PFV;PROSP;POL;NEG	2
会う	お目にかかろう	V;FORM;HUMB;INTEN	7150
会う	お目にかかりましょう	V;FORM;HUMB;INTEN;POL;FOREG	25900
会う	お目にかかりたい	V;FORM;HUMB;PRS;IPFV;OPT;1	117000
会う	お目にかかりたくない	V;FORM;HUMB;PRS;IPFV;OPT;NEG;1	3560
会う	お目にかかりたいです	V;FORM;HUMB;PRS;IPFV;OPT;POL;1	28700
会う	お目にかかりたくないです	V;FORM;HUMB;PRS;IPFV;OPT;POL;NEG;1	2120
会う	お目にかかりたかった	V;FORM;HUMB;PST;PFV;OPT;1	9380
会う	お目にかかりたくなかった	V;FORM;HUMB;PST;PFV;OPT;NEG;1	1460
会う	お目にかかりたかったです	V;FORM;HUMB;PST;PFV;OPT;POL;1	4610
会う	お目にかかりたくなかったです	V;FORM;HUMB;PST;PFV;OPT;POL;NEG;1	1
会う	お目にかかりたがる	V;FORM;HUMB;PRS;IPFV;OPT;3	1
会う	お目にかかりたがらない	V;FORM;HUMB;PRS;IPFV;OPT;NEG;3	0
会う	お目にかかりたがります	V;FORM;HUMB;PRS;IPFV;OPT;POL;FOREG;3	0
会う	お目にかかりたがりません	V;FORM;HUMB;PRS;IPFV;OPT;POL;FOREG;NEG;3	0
会う	お目にかかりたがった	V;FORM;HUMB;PST;PFV;OPT;3	1
会う	お目にかかりたがらなかった	V;FORM;HUMB;PST;PFV;OPT;NEG;3	0
会う	お目にかかりたがりました	V;FORM;HUMB;PST;PFV;OPT;POL;FOREG;3	0
会う	お目にかかりたがりませんでした	V;FORM;HUMB;PST;PFV;OPT;POL;FOREG;NEG;3	0
会う	お目にかかれ	V;FORM;HUMB;IMP;OBLIG	6980000
会う	お目にかかりな	V;FORM;HUMB;IMP;OBLIG;COL	5
会う	お目にかかりなさい	V;FORM;HUMB;IMP;OBLIG;POL	783
会う	お目にかかって	V;FORM;HUMB;IMP;COL	151000
会う	お目にかかってください	V;FORM;HUMB;IMP;POL	29100
会う	お目にかかるな	V;FORM;HUMB;IMP;OBLIG;NEG	731
会う	お目にかからないで	V;FORM;HUMB;IMP;NEG;COL	2850
会う	お目にかからないでください	V;FORM;HUMB;IMP;POL;NEG	2
会う	お目にかかれる	V;FORM;HUMB;PRS;IPFV;POT	505000
会う	お目にかかれない	V;FORM;HUMB;PRS;IPFV;POT;NEG	4690000
会う	お目にかかれます	V;FORM;HUMB;PRS;IPFV;POT;POL;FOREG	91800
会う	お目にかかれません	V;FORM;HUMB;PRS;IPFV;POT;POL;FOREG;NEG	763000
会う	お目にかかれた	V;FORM;HUMB;PST;PFV;POT	41700
会う	お目にかかれなかった	V;FORM;HUMB;PST;PFV;POT;NEG	67100
会う	お目にかかれました	V;FORM;HUMB;PST;PFV;POT;POL;FOREG	68000
会う	お目にかかれませんでした	V;FORM;HUMB;PST;PFV;POT;POL;FOREG;NEG	132000
会う	お目にかかられる	V;FORM;HUMB;PRS;IPFV;PASS	2580
会う	お目にかかられない	V;FORM;HUMB;PRS;IPFV;PASS;NEG	15900
会う	お目にかかられます	V;FORM;HUMB;PRS;IPFV;PASS;POL;FOREG	897
会う	お目にかかられません	V;FORM;HUMB;PRS;IPFV;PASS;POL;FOREG;NEG	8
会う	お目にかかられた	V;FORM;HUMB;PST;PFV;PASS	3270
会う	お目にかかられなかった	V;FORM;HUMB;PST;PFV;PASS;NEG	7
会う	お目にかかられました	V;FORM;HUMB;PST;PFV;PASS;POL;FOREG	6
会う	お目にかかられませんでした	V;FORM;HUMB;PST;PFV;PASS;POL;FOREG;NEG	1
会う	お目にかからせる	V;FORM;HUMB;PRS;IPFV;CAUS	400
会う	お目にかからせない	V;FORM;HUMB;PRS;IPFV;CAUS;NEG	3
会う	お目にかからせます	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG	4
会う	お目にかからせません	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG;NEG	2
会う	お目にかからせた	V;FORM;HUMB;PST;PFV;CAUS	2
会う	お目にかからせなかった	V;FORM;HUMB;PST;PFV;CAUS;NEG	1
会う	お目にかからせました	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG	1
会う	お目にかからせませんでした	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG;NEG	0
会う	お目にかからす	V;FORM;HUMB;PRS;IPFV;CAUS	4
会う	お目にかからさない	V;FORM;HUMB;PRS;IPFV;CAUS;NEG	0
会う	お目にかからします	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG	0
会う	お目にかからしません	V;FORM;HUMB;PRS;IPFV;CAUS;POL;FOREG;NEG	0
会う	お目にかからした	V;FORM;HUMB;PST;PFV;CAUS	0
会う	お目にかからさなかった	V;FORM;HUMB;PST;PFV;CAUS;NEG	0
会う	お目にかからしました	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG	0
会う	お目にかからしませんでした	V;FORM;HUMB;PST;PFV;CAUS;POL;FOREG;NEG	0
会う	お目にかからせられる	V;FORM;HUMB;PRS;IPFV;CAUS;PASS	3
会う	お目にかからせられない	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;NEG	1
会う	お目にかからせられます	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG	1
会う	お目にかからせられません	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	1
会う	お目にかからせられた	V;FORM;HUMB;PST;PFV;CAUS;PASS	0
会う	お目にかからせられなかった	V;FORM;HUMB;PST;PFV;CAUS;PASS;NEG	0
会う	お目にかからせられました	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG	0
会う	お目にかからせられませんでした	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0
会う	お目にかからされる	V;FORM;HUMB;PRS;IPFV;CAUS;PASS	1
会う	お目にかからされない	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;NEG	1
会う	お目にかからされます	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG	0
会う	お目にかからされません	V;FORM;HUMB;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	0
会う	お目にかからされた	V;FORM;HUMB;PST;PFV;CAUS;PASS	0
会う	お目にかからされなかった	V;FORM;HUMB;PST;PFV;CAUS;PASS;NEG	1
会う	お目にかからされました	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG	0
会う	お目にかからされませんでした	V;FORM;HUMB;PST;PFV;CAUS;PASS;POL;FOREG;NEG	0
開く	開く	V;PRS;IPFV	326000000
開く	開かない	V;PRS;IPFV;NEG	16500000
開く	開かないです	V;PRS;IPFV;POL;NEG;COL	3870000
開く	開きます	V;PRS;IPFV;POL;FOREG	132000000
開く	開きません	V;PRS;IPFV;POL;FOREG;NEG	4390000
開く	開くだろう	V;PRS;IPFV;PROSP	127000
開く	開かないだろう	V;PRS;IPFV;PROSP;NEG	215000
開く	開くでしょう	V;PRS;IPFV;PROSP;POL	478000
開く	開かないでしょう	V;PRS;IPFV;PROSP;POL;NEG	430000
開く	開いた	V;PST;PFV	47600000
開く	開かなかった	V;PST;PFV;NEG	724000
開く	開きました	V;PST;PFV;POL;FOREG	4700000
開く	開きませんでした	V;PST;PFV;POL;FOREG;NEG	3770000
開く	開いただろう	V;PST;PFV;PROSP	22500
開く	開かなかっただろう	V;PST;PFV;PROSP;NEG	23800
開く	開いたでしょう	V;PST;PFV;PROSP;POL	428000
開く	開かなかったでしょう	V;PST;PFV;PROSP;POL;NEG	14000
開く	開こう	V;INTEN	8000000
開く	開きましょう	V;INTEN;POL;FOREG	862000
開く	開きたい	V;PRS;IPFV;OPT;1	1330000
開く	開きたくない	V;PRS;IPFV;OPT;NEG;1	301000
開く	開きたいです	V;PRS;IPFV;OPT;POL;1	299000
開く	開きたくないです	V;PRS;IPFV;OPT;POL;NEG;1	164000
開く	開きたかった	V;PST;PFV;OPT;1	155000
開く	開きたくなかった	V;PST;PFV;OPT;NEG;1	18600
開く	開きたかったです	V;PST;PFV;OPT;POL;1	2000
開く	開きたくなかったです	V;PST;PFV;OPT;POL;NEG;1	9
開く	開きたがる	V;PRS;IPFV;OPT;3	55100
開く	開きたがらない	V;PRS;IPFV;OPT;NEG;3	3210
開く	開きたがります	V;PRS;IPFV;OPT;POL;FOREG;3	7650
開く	開きたがりません	V;PRS;IPFV;OPT;POL;FOREG;NEG;3	121
開く	開きたがった	V;PST;PFV;OPT;3	213
開く	開きたがらなかった	V;PST;PFV;OPT;NEG;3	988
開く	開きたがりました	V;PST;PFV;OPT;POL;FOREG;3	157
開く	開きたがりませんでした	V;PST;PFV;OPT;POL;FOREG;NEG;3	8
開く	開け	V;IMP;OBLIG	240000000
開く	開きな	V;IMP;OBLIG;COL	413000
開く	開きなさい	V;IMP;OBLIG;POL	126000
開く	開いて	V;IMP;COL	82200000
開く	開いてください	V;IMP;POL	36200000
開く	お開きください	V;FORM;IMP;POL	114000
開く	開くな	V;IMP;OBLIG;NEG	330000
開く	開かないで	V;IMP;NEG;COL	1840000
開く	開かないでください	V;IMP;POL;NEG	1360000
開く	お開きにならないでください	V;FORM;IMP;POL;NEG	5
開く	開ける	V;PRS;IPFV;POT	59900000
開く	開けない	V;PRS;IPFV;POT;NEG	13300000
開く	開けます	V;PRS;IPFV;POT;POL;FOREG	5280000
開く	開けません	V;PRS;IPFV;POT;POL;FOREG;NEG	1250000
開く	開けた	V;PST;PFV;POT	53400000
開く	開けなかった	V;PST;PFV;POT;NEG	1360000
開く	開けました	V;PST;PFV;POT;POL;FOREG	6280000
開く	開けませんでした	V;PST;PFV;POT;POL;FOREG;NEG	1430000
開く	開かれる	V;PRS;IPFV;PASS	13500000
開く	開かれない	V;PRS;IPFV;PASS;NEG	141000
開く	開かれます	V;PRS;IPFV;PASS;POL;FOREG	4610000
開く	開かれません	V;PRS;IPFV;PASS;POL;FOREG;NEG	194000
開く	開かれた	V;PST;PFV;PASS	28000000
開く	開かれなかった	V;PST;PFV;PASS;NEG	183000
開く	開かれました	V;PST;PFV;PASS;POL;FOREG	4080000
開く	開かれませんでした	V;PST;PFV;PASS;POL;FOREG;NEG	66300
開く	開かれる	V;PRS;IPFV;ELEV	13500000
開く	開かれない	V;PRS;IPFV;ELEV;NEG	141000
開く	開かれます	V;PRS;IPFV;ELEV;POL;FOREG	4610000
開く	開かれません	V;PRS;IPFV;ELEV;POL;FOREG;NEG	194000
開く	開かれた	V;PST;PFV;ELEV	28000000
開く	開かれなかった	V;PST;PFV;ELEV;NEG	183000
開く	開かれました	V;PST;PFV;ELEV;POL;FOREG	4080000
開く	開かれませんでした	V;PST;PFV;ELEV;POL;FOREG;NEG	66300
開く	開かせる	V;PRS;IPFV;CAUS	2110000
開く	開かせない	V;PRS;IPFV;CAUS;NEG	321000
開く	開かせます	V;PRS;IPFV;CAUS;POL;FOREG	44900
開く	開かせません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	11900
開く	開かせた	V;PST;PFV;CAUS	556000
開く	開かせなかった	V;PST;PFV;CAUS;NEG	7530
開く	開かせました	V;PST;PFV;CAUS;POL;FOREG	53300
開く	開かせませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	1050
開く	開かす	V;PRS;IPFV;CAUS	7440
開く	開かさない	V;PRS;IPFV;CAUS;NEG	33200
開く	開かします	V;PRS;IPFV;CAUS;POL;FOREG	11800
開く	開かしません	V;PRS;IPFV;CAUS;POL;FOREG;NEG	97
開く	開かした	V;PST;PFV;CAUS	3530
開く	開かさなかった	V;PST;PFV;CAUS;NEG	126
開く	開かしました	V;PST;PFV;CAUS;POL;FOREG	102
開く	開かしませんでした	V;PST;PFV;CAUS;POL;FOREG;NEG	4
開く	開かせられる	V;PRS;IPFV;CAUS;PASS	36000
開く	開かせられない	V;PRS;IPFV;CAUS;PASS;NEG	8080
開く	開かせられます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	23000
開く	開かせられません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	10
開く	開かせられた	V;PST;PFV;CAUS;PASS	37800
開く	開かせられなかった	V;PST;PFV;CAUS;PASS;NEG	3610
開く	開かせられました	V;PST;PFV;CAUS;PASS;POL;FOREG	3830
開く	開かせられませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	2
開く	開かされる	V;PRS;IPFV;CAUS;PASS	304000
開く	開かされない	V;PRS;IPFV;CAUS;PASS;NEG	972
開く	開かされます	V;PRS;IPFV;CAUS;PASS;POL;FOREG	87800
開く	開かされません	V;PRS;IPFV;CAUS;PASS;POL;FOREG;NEG	9
開く	開かされた	V;PST;PFV;CAUS;PASS	345000
開く	開かされなかった	V;PST;PFV;CAUS;PASS;NEG	3370
開く	開かされました	V;PST;PFV;CAUS;PASS;POL;FOREG	107000
開く	開かされませんでした	V;PST;PFV;CAUS;PASS;POL;FOREG;NEG	7
開く	お開きになる	V;FORM;ELEV;PRS;IPFV	125000
開く	お開きにならない	V;FORM;ELEV;PRS;IPFV;NEG	25000
開く	お開きになります	V;FORM;ELEV;PRS;IPFV;POL;FOREG	59400
開く	お開きになりません	V;FORM;ELEV;PRS;IPFV;POL;FOREG;NEG	15400
開く	お開きになった	V;FORM;ELEV;PST;PFV	135000
開く	お開きにならなかった	V;FORM;ELEV;PST;PFV;NEG	5680
開く	お開きになりました	V;FORM;ELEV;PST;PFV;POL;FOREG	72600
開く	お開きになりませんでした	V;FORM;ELEV;PST;PFV;POL;FOREG;NEG	9540
開く	お開きする	V;FORM;HUMB;PRS;IPFV	3860
開く	お開きしない	V;FORM;HUMB;PRS;IPFV;NEG	126
開く	お開きします	V;FORM;HUMB;PRS;IPFV;POL;FOREG	2670
開く	お開きしません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG	396
開く	お開きした	V;FORM;HUMB;PST;PFV	11300
開く	お開きしなかった	V;FORM;HUMB;PST;PFV;NEG	2
開く	お開きしました	V;FORM;HUMB;PST;PFV;POL;FOREG	3250
開く	お開きしませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG	3
開く	開かせていただく	V;FORM;HUMB;PRS;IPFV;PERM	291000
開く	開かせていただかない	V;FORM;HUMB;PRS;IPFV;NEG;PERM	5
開く	開かせていただきます	V;FORM;HUMB;PRS;IPFV;POL;FOREG;PERM	545000
開く	開かせていただきません	V;FORM;HUMB;PRS;IPFV;POL;FOREG;NEG;PERM	0
開く	開かせていただいた	V;FORM;HUMB;PST;PFV;PERM	238000
開く	開かせていただかなかった	V;FORM;HUMB;PST;PFV;NEG;PERM	0
開く	開かせていただきました	V;FORM;HUMB;PST;PFV;POL;FOREG;PERM	273000
開く	開かせていただきませんでした	V;FORM;HUMB;PST;PFV;POL;FOREG;NEG;PERM	0
開ける	開ける	V;PRS;IPFV	59900000
開ける	開けない	V;PRS;IPFV;NEG	13300000
開ける	開けないです	V;PRS;IPFV;POL;NEG;COL	1890000
開ける	開けます	V;PRS;IPFV;POL;FOREG	5280000
開ける	開けません	V;PRS;IPFV;POL;FOREG;NEG	1250000
開ける	開けるだろう	V;PRS;IPFV;PROSP	80700
開ける	開けないだろう	V;PRS;IPFV;PROSP;NEG	128000
開ける	開けるでしょう	V;PRS;IPFV;PROSP;POL	569000
開ける	開けないでしょう	V;PRS;IPFV;PROSP;POL;NEG	278000
開ける	開けた	V;PST;PFV	53400000
開ける	開けなかった	V;PST;PFV;NEG	1360000
開ける	開けました	V;PST;PFV;POL;FOREG	6280000
開ける	開けませんでした	V;PST;PFV;POL;FOREG;NEG	1430000
開ける	開けただろう	V;PST;PFV;PROSP	50600
開ける	開けなかっただろう	V;PST;PFV;PROSP;NEG	1830
開ける	開けたでしょう	V;PST;PFV;PROSP;POL	305000
開ける	開けなかったでしょう	V;PST;PFV;PROSP;POL;NEG	6610
開ける	開けよう	V;INTEN	9070000
開ける	開けましょう	V;INTEN;POL;FOREG	854000
開ける	開けたい	V;PRS;IPFV;OPT;1	2460000
開ける	開けたくない	V;PRS;IPFV;OPT;NEG;1	3310000
開ける	開けたいです	V;PRS;IPFV;OPT;POL;1	868000
開ける	開けたくないです	V;PRS;IPFV;OPT;POL;NEG;1	119000
開ける	開けたかった	V;PST;PFV;OPT;1	818000
開ける	開けたくなかった	V;PST;PFV;OPT;NEG;1	1960000
開ける	開けたかったです	V;PST;PFV;OPT;POL;1	56400
開ける	開けたくなかったです	V;PST;PFV;OPT;POL;NEG;1	149000
開ける	開けたがる	V;PRS;IPFV;OPT;3	748000
開ける	開けたがらない	V;PRS;IPFV;OPT;NEG;3	86600
開ける	開けたがります	V;PRS;IPFV;OPT;POL;FOREG;3	328000
開ける	開けたがりません	V;PRS;IPFV;OPT;POL;FOREG;NEG;3	7280
開ける	開けたがった	V;PST;PFV;OPT;3	44200
開ける	開けたがらなかった	V;PST;PFV;OPT;NEG;3	346
開ける	開けたがりました	V;PST;PFV;OPT;POL;FOREG;3	4230
開ける	開けたがりませんでした	V;PST;PFV;OPT;POL;FOREG;NEG;3	5
開ける	開けろ	V;IMP;OBLIG	508000
開ける	開けな	V;IMP;OBLIG;COL	332000
開ける	開けなさい	V;IMP;OBLIG;POL	246000
開ける	開けて	V;IMP;COL	48700000
開ける	開けてください	V;IMP;POL	33500000
開ける	お開けください	V;FORM;IMP;POL	74300
開ける	開けるな	V;IMP;OBLIG;NEG	447000
開ける	開けないで	V;IMP;NEG;COL	5770000
開ける	開けないでください	V;IMP;POL;NEG	2150000
開ける	お開けにならないでください	V;FORM;IMP;POL;NEG	8
開ける	開けられる	V;PRS;IPFV;POT	3930000
開ける	開けられない	V;PRS;IPFV;POT;NEG	8990000
開ける	開けられます	V;PRS;IPFV;POT;POL;FOREG	2550000
開ける	開けられません	V;PRS;IPFV;POT;POL;FOREG;NEG	1490000
開ける	開けられた	V;PST;PFV;POT	4600000
開ける	開けられなかった	V;PST;PFV;POT;NEG	2010000
開ける	開けられました	V;PST;PFV;POT;POL;FOREG	4160000
開ける	開けられませんでした	V;PST;PFV;POT;POL;FOREG;NEG	2570000
開ける	開けられる	V;PRS;IPFV;PASS	3930000
開ける	開けられない	V;PRS;IPFV;PASS;NEG	8990000
